,,,MIS  ,,BO/CO,,,
Symbol,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,BO/CO Margin(%),CO Upper Trigger,BO/CO Margin(%),BO/CO Multiplier
RBLBANK,540065,32.00,16.00,6.25,8.00,10.00,9.60,10.42
RCF,524230,22.52,11.26,8.88,5.63,10.00,6.76,14.80
RECLTD,532955,20.47,10.24,9.77,5.12,10.00,6.14,16.28
REDINGTON,532805,26.69,13.35,7.49,6.67,10.00,8.01,12.49
RELAXO,530517,16.03,8.02,12.48,5.00,10.00,5.00,20.00
RELIANCE,500325,19.89,9.95,10.06,5.00,10.00,5.00,20.00
RITES,541556,17.19,8.60,11.63,5.00,10.00,5.00,20.00
ROSSARI,543213,13.00,6.50,15.38,5.00,10.00,5.00,20.00
SAIL,500113,44.89,22.45,4.46,11.22,10.00,13.47,7.43
SANDHAR,541163,19.55,9.78,10.23,5.00,10.00,5.00,20.00
SANOFI,500674,14.00,7.00,14.29,5.00,10.00,5.00,20.00
SARDAEN,504614,27.46,13.73,7.28,6.87,10.00,8.24,12.14
SBICARD,543066,16.81,8.41,11.90,5.00,10.00,5.00,20.00
SBILIFE,540719,19.22,9.61,10.41,5.00,10.00,5.00,20.00
SBIN,500112,35.12,17.56,5.69,8.78,10.00,10.54,9.49
SCHAEFFLER,505790,15.02,7.51,13.32,5.00,10.00,5.00,20.00
SCI,523598,28.52,14.26,7.01,7.13,10.00,8.56,11.69
SFL,540203,16.97,8.49,11.79,5.00,10.00,5.00,20.00
SHK,539450,25.27,12.64,7.91,6.32,10.00,7.58,13.19
SHREECEM,500387,18.42,9.21,10.86,5.00,10.00,5.00,20.00
SIEMENS,500550,16.96,8.48,11.79,5.00,10.00,5.00,20.00
SIS,540673,21.96,10.98,9.11,5.49,10.00,6.59,15.18
SIYSIL,503811,24.36,12.18,8.21,6.09,10.00,7.31,13.68
SJVN,533206,15.45,7.73,12.94,5.00,10.00,5.00,20.00
SKFINDIA,500472,16.55,8.28,12.08,5.00,10.00,5.00,20.00
SOLARINDS,532725,15.08,7.54,13.26,5.00,10.00,5.00,20.00
SONATSOFTW,532221,18.86,9.43,10.60,5.00,10.00,5.00,20.00
SPARC,532872,25.55,12.78,7.83,6.39,10.00,7.67,13.05
SPENCERS,542337,27.76,13.88,7.20,6.94,10.00,8.33,12.01
SRF,503806,23.90,11.95,8.37,5.98,10.00,7.17,13.95
SRTRANSFIN,511218,30.31,15.16,6.60,7.58,10.00,9.09,11.00
STAR,532531,27.10,13.55,7.38,6.78,10.00,8.13,12.30
STARCEMENT,540575,19.47,9.74,10.27,5.00,10.00,5.00,20.00
SUDARSCHEM,506655,21.35,10.68,9.37,5.34,10.00,6.41,15.61
SUMICHEM,542920,19.80,9.90,10.10,5.00,10.00,5.00,20.00
SUNDARMFIN,590071,18.63,9.32,10.74,5.00,10.00,5.00,20.00
SUNDRMFAST,500403,20.07,10.04,9.97,5.02,10.00,6.02,16.61
SUNPHARMA,524715,18.30,9.15,10.93,5.00,10.00,5.00,20.00
SUNTECK,512179,25.62,12.81,7.81,6.41,10.00,7.69,13.01
SUNTV,532733,25.66,12.83,7.79,6.42,10.00,7.70,12.99
SUPRAJIT,532509,21.31,10.66,9.39,5.33,10.00,6.39,15.64
SUPREMEIND,509930,20.76,10.38,9.63,5.19,10.00,6.23,16.06
SYMPHONY,517385,18.95,9.48,10.55,5.00,10.00,5.00,20.00
SYNGENE,539268,17.39,8.70,11.50,5.00,10.00,5.00,20.00
TASTYBITE,519091,22.27,11.14,8.98,5.57,10.00,6.68,14.97
TATACHEM,500770,18.65,9.33,10.72,5.00,10.00,5.00,20.00
TATACOFFEE,532301,19.37,9.69,10.33,5.00,10.00,5.00,20.00
TATACONSUM,500800,21.32,10.66,9.38,5.33,10.00,6.40,15.63
